time_s,ivc_pressure_pa,lpa_pressure_pa,rpa_pressure_pa,svc_pressure_pa,aortic_arch_pressure_pa,ascending_aorta_pressure_pa,descending_aorta_pressure_pa,femoral_artery_pressure_pa,ventricle_pressure_pa,wedge_pressure_pa,ivc_flow_m3_s,lpa_flow_m3_s,rpa_flow_m3_s,svc_flow_m3_s,ascending_aorta_flow_m3_s,descending_aorta_flow_m3_s,ventricle_volume_m3
0.2470000000000001,1135.2628609897993,1119.9720000000002,1148.932217073718,1202.6373629333086,8791.736059919507,8614.46499210264,8585.1187,8641.905220670958,9242.4356,815.3149610983127,1.7723723499878304e-05,1.7914545082732963e-05,2.082843373186275e-05,2.767991138203058e-05,0.00015750432023916682,8.418281582402378e-05,5.150318412265123e-05
0.248,1134.6383,1118.6387000000002,1147.9713,1198.5801642670015,8781.96563351322,8608.55932476003,8586.128071957328,8682.03964149719,9222.4361,813.0375148323646,1.762526688899456e-05,1.7952689662578518e-05,2.0900569766575883e-05,2.770842407881579e-05,0.00015694092848525973,8.421578305600013e-05,5.137632177010419e-05
0.2490000000000001,1134.9192970979864,1117.3054000000002,1148.7368054939059,1195.4156158550413,8774.1968557992,8603.649720120815,8590.569188799358,8724.58107749198,9218.4362,814.8523096176342,1.7527847509581374e-05,1.7991974652442776e-05,2.0974832522449107e-05,2.77360566713774e-05,0.00015636476471794143,8.424708737532461e-05,5.12477025467293e-05
0.25,1137.7156248541419,1125.3052,1149.3046,1195.0201118402945,8762.654143727801,8597.813788538393,8593.511780666902,8773.498733382978,9219.769500000002,815.9796000000001,1.7431360196764904e-05,1.8032062622221735e-05,2.105065924941375e-05,2.776312734450378e-05,0.00015577676583999563,8.427670206583471e-05,5.111746261065227e-05
0.2510000000000001,1140.1428305224192,1118.6387000000002,1149.3046,1197.0558167934412,8746.755480741625,8592.125639672318,8595.1948221285,8819.149515749548,9205.103200000001,812.3393294606223,1.733569978567124e-05,1.8072616141811426e-05,2.11274871974012e-05,2.7789954282983293e-05,0.00015517786875420575,8.430460041136803e-05,5.0985738119998696e-05
0.252,1142.5869404837238,1121.3053000000002,1149.3046,1198.6367000000002,8735.592344634793,8585.74322576508,8601.676074085704,8864.173196840275,9205.103200000001,814.1896996552526,1.724076111142653e-05,1.8113297781107838e-05,2.1204753616342784e-05,2.781685567160431e-05,0.00015456901036335548,8.433075569576207e-05,5.085266523289428e-05
0.2530000000000001,1143.8182572552134,1127.9718000000003,1149.3046,1198.462116813646,8721.9086214261,8575.891626493754,8605.306554532723,8911.707484957606,9201.1033,813.0458303830644,1.7146439009156855e-05,1.8153770110006998e-05,2.128189575616989e-05,2.7844149695155197e-05,0.00015395112757022813,8.435514120285441e-05,5.071838010746464e-05
0.254,1145.0246603267194,1125.3052,1149.417354483136,1195.6783482166527,8712.03116899299,8566.444237508227,8609.042561541817,8956.721536729683,9186.437000000002,808.6160486978753,1.7052628313988388e-05,1.8193695698404897e-05,2.135835086681384e-05,2.7872154538424314e-05,0.00015332515727760752,8.437773021648257e-05,5.0583018901835446e-05
0.2550000000000001,1146.4327012995634,1130.6384000000003,1153.304061952459,1193.3041820936128,8700.741237320724,8558.727418684315,8611.452295223828,9001.577865106308,9186.437000000002,811.2256787008844,1.6959223861047204e-05,1.8232737116197572e-05,2.1433556198206022e-05,2.7901188386200034e-05,0.00015269203638827692,8.439849602048411e-05,5.0446717774132324e-05
0.256,1146.6380000000001,1134.6383,1151.995050759013,1195.8028381618894,8691.794571275519,8549.171268644086,8617.488939818164,9045.614234416993,9179.7705,809.1474589990063,1.6866120485459453e-05,1.827055693328101e-05,2.1506949000277766e-05,2.793156942327072e-05,0.00015205270180502014,8.441741189869656e-05,5.030961288248097e-05
0.2570000000000001,1147.3384752114425,1130.6384000000003,1151.9712000000002,1197.0883826112295,8683.432257475104,8537.98019610517,8621.37651436713,9086.767639046157,9169.1041,803.3427496357549,1.6773213022351227e-05,1.8306817719551238e-05,2.157796652296046e-05,2.796361583442474e-05,0.00015140809043062044,8.44344511349575e-05,5.017184038500696e-05
0.258,1146.7458912833358,1130.6384000000003,1151.9712000000002,1198.2913177362911,8681.561080801685,8528.541562454118,8628.088466009101,9128.041165234225,9169.1041,806.3235216164088,1.6680396306848682e-05,1.8341182044904253e-05,2.1646046016185426e-05,2.7997645804450447e-05,0.00015075913916786165,8.444958701310442e-05,5.0033536439836034e-05
0.2590000000000001,1142.8004666881393,1130.6384000000003,1153.4961009709891,1199.702031200976,8677.822210652646,8513.473579832465,8633.672650656923,9170.299175003413,9158.4377,807.8935080829413,1.6587565174077896e-05,1.837331247923608e-05,2.171062472988405e-05,2.803397751813623e-05,0.000150106784919527,8.44627928169749e-05,4.9894837205093765e-05
