t_s,pivc_mmhg,psvc_mmhg,prpa_mmhg,qrpa_ml_per_s,plpa_mmhg,qlpa_ml_per_s
0.11,9.384234605865146,9.35460886522163,9.15577889447236,28.3443,8.249531238280957,16.3295
0.111,9.378534463361584,9.363609090227255,9.163879096977423,28.3916,8.253581339533488,16.346
0.112,9.373284332108302,9.372009300232504,9.171754293857346,28.4374,8.257856446411159,16.3633
0.113,9.368484212105301,9.379659491487285,9.179254481362033,28.481,8.262281557038925,16.3813
0.114,9.36420910522763,9.386409660241505,9.186229655741393,28.5215,8.266856671416784,16.399700000000003
0.115,9.360534013350332,9.392334808370208,9.192604815120378,28.558400000000002,8.271356783919597,16.418200000000002
0.116,9.357458936473412,9.397284932123302,9.198229955748893,28.5912,8.275856896422411,16.436500000000002
0.117,9.354983874596863,9.401260031500787,9.203030075751892,28.6193,8.280282007050175,16.4543
0.11800000000000001,9.353108827720693,9.404185104627613,9.207005175129376,28.6424,8.2844821120528,16.4715
0.11900000000000001,9.351908797719943,9.40621015525388,9.210155253881346,28.660500000000003,8.288457211430284,16.4878
0.12,9.35123378084452,9.407335183379583,9.212330308257705,28.673299999999998,8.292207305182629,16.5029
0.121,9.35123378084452,9.407560189004723,9.21368034200855,28.680999999999997,8.295582389559739,16.5168
0.122,9.3516837920948,9.40696017400435,9.214130353258831,28.683600000000002,8.29865746643666,16.529300000000003
0.123,9.352658816470411,9.405610140253506,9.213755343883596,28.6815,8.3012825320633,16.540200000000002
0.124,9.354083852096302,9.40358508962724,9.212555313882845,28.674899999999997,8.303532588314706,16.549500000000002
0.125,9.35580889522238,9.401035025875647,9.210755268881721,28.6643,8.305407635190878,16.5572
0.126,9.357908947723693,9.397959948998723,9.20835520888022,28.650199999999998,8.30683267081677,16.5633
0.127,9.360309007725192,9.394584864621613,9.205355133878346,28.6331,8.307882697067427,16.567800000000002
0.128,9.362784069601739,9.390984774619364,9.202055051376284,28.6136,8.308632715817895,16.570800000000002
0.129,9.365484137103428,9.387159678991972,9.198379959498988,28.5924,8.308932723318081,16.572400000000002
0.13,9.368184204605114,9.383334583364583,9.194554863871597,28.57,8.308932723318081,16.5727
0.131,9.370884272106803,9.379509487737192,9.190579764494112,28.547,8.308707717692942,16.5718
0.132,9.373509337733442,9.375759393984849,9.186679666991672,28.5241,8.308182704567614,16.57
0.133,9.376059401485035,9.372234305857646,9.182779569489236,28.5018,8.307507687692192,16.5673
0.134,9.378459461486537,9.368934223355584,9.179179479486985,28.4806,8.306682667066676,16.5641
0.135,9.380709517737943,9.36585914647866,9.175804395109877,28.461000000000002,8.305707642691067,16.5604
0.136,9.382734568364208,9.36323408085202,9.172729318232955,28.4434,8.30465761644041,16.5564
0.137,9.384534613365334,9.360909022725567,9.170104252606315,28.428,8.303607590189753,16.552300000000002
0.138,9.386034650866272,9.358958973974348,9.167929198229954,28.4152,8.302632565814145,16.548299999999998
0.139,9.387384684617114,9.357458936473412,9.166204155103877,28.405,8.301657541438534,16.5445
0.14,9.38843471086777,9.356258906472661,9.164929123228081,28.3977,8.300757518937973,16.5411
0.14100000000000001,9.389334733368335,9.355433885847145,9.16417910447761,28.3933,8.300007500187505,16.5381
0.14200000000000002,9.390009750243756,9.354983874596863,9.163879096977423,28.3916,8.299407485187128,16.535700000000002
0.14300000000000002,9.390534763369082,9.35483387084677,9.164029100727516,28.3926,8.298957473936847,16.5338
0.14400000000000002,9.390984774619364,9.354983874596863,9.164629115727893,28.3961,8.29865746643666,16.5327
0.145,9.391284782119552,9.355433885847145,9.165679141978549,28.4019,8.298507462686567,16.5322
0.146,9.391509787744694,9.356033900847521,9.167029175729393,28.4098,8.298582464561614,16.532500000000002
0.147,9.391734793369833,9.356783919597989,9.168679216980424,28.4194,8.298807470186754,16.5334
0.148,9.392034800870022,9.357683942098552,9.170554263856596,28.430400000000002,8.299182479561988,16.535
0.149,9.392334808370208,9.358583964599115,9.172654316357908,28.442500000000003,8.299782494562363,16.537200000000002
0.15,9.39278481962049,9.359558988974724,9.174829370734267,28.455299999999998,8.300457511437786,16.5399
0.151,9.393309832745818,9.360534013350332,9.177079426985673,28.4685,8.3012825320633,16.543200000000002
0.152,9.394059851496287,9.361509037725943,9.179404485112128,28.4817,8.302182554563863,16.546799999999998
0.153,9.39495987399685,9.362334058351458,9.181579539488487,28.4947,8.303157578939473,16.550800000000002
0.154,9.396084902122553,9.363159078976974,9.183754593864846,28.5072,8.304207605190129,16.555
0.155,9.397434935873397,9.363759093977349,9.185779644491111,28.5188,8.305257631440785,16.5593
0.156,9.399009975249381,9.364359108977723,9.187579689492237,28.529400000000003,8.306382659566488,16.563699999999997
0.157,9.400735018375459,9.364809120228005,9.189229730743268,28.538899999999998,8.307432685817146,16.5681
0.158,9.402760069001724,9.365109127728193,9.190579764494112,28.5471,8.3084827120678,16.572400000000002
0.159,9.404935123378085,9.365334133353333,9.191779794494861,28.553900000000002,8.309532738318458,16.5764
0.16,9.407335183379583,9.365484137103428,9.192679816995424,28.5593,8.310432760819019,16.5802
0.161,9.409885247131177,9.365559138978474,9.193429835745892,28.5633,8.311332783319584,16.583699999999997
0.162,9.412585314632866,9.36563414085352,9.193879846996174,28.566100000000002,8.312082802070051,16.5869
