target_id,source_id,source_type,canonical_name,quantity,statistic,value,unit,source_file,source_columns,cycle_length_s,notes
paper_model.pulmonary_inflow.beat_integral,paper_model,paper_output,pulmonary_inflow,flow,beat_integral,35.75643310300004,ml/beat,paper_results/model.csv,"[""qpa_ml_per_s"", ""time_s""]",0.8580000000000008,Periodic trapezoid integral over one beat.
paper_model.mitral_valve_flow.beat_integral,paper_model,paper_output,mitral_valve_flow,flow,beat_integral,35.70093828600001,ml/beat,paper_results/model.csv,"[""qmv_mmhg"", ""time_s""]",0.8580000000000008,Periodic trapezoid integral over one beat.
paper_model.rpa_flow_fraction.rpa_over_rpa_plus_lpa,paper_model,paper_output,rpa_flow_fraction,dimensionless,rpa_over_rpa_plus_lpa,0.6236189261229601,1,paper_results/model.csv,"[""qrpa_ml_per_s"", ""qlpa_ml_per_s"", ""time_s""]",0.8580000000000008,Pulmonary flow split from beat-integrated RPA and LPA flows.
paper_model.lpa_flow_fraction.lpa_over_rpa_plus_lpa,paper_model,paper_output,lpa_flow_fraction,dimensionless,lpa_over_rpa_plus_lpa,0.37638107387704,1,paper_results/model.csv,"[""qrpa_ml_per_s"", ""qlpa_ml_per_s"", ""time_s""]",0.8580000000000008,Pulmonary flow split from beat-integrated RPA and LPA flows.
paper_model.rpa_lpa_flow_ratio.rpa_over_lpa,paper_model,paper_output,rpa_lpa_flow_ratio,dimensionless,rpa_over_lpa,1.656881733449462,1,paper_results/model.csv,"[""qrpa_ml_per_s"", ""qlpa_ml_per_s"", ""time_s""]",0.8580000000000008,RPA/LPA flow ratio from beat-integrated flows.
nektar_closed_loop_1d.cycle_length.period,nektar_closed_loop_1d,nektar_comparison_output,cycle_length,time,period,0.8580000000000008,s,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""time_s""]",0.8580000000000008,Derived as sample_count * median_dt because the terminal phase sample is not duplicated.
nektar_closed_loop_1d.heart_rate.derived_from_cycle_length,nektar_closed_loop_1d,nektar_comparison_output,heart_rate,frequency,derived_from_cycle_length,69.93006993006986,beats/min,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""time_s""]",0.8580000000000008,Derived from one-cycle duration.
nektar_closed_loop_1d.edv.max,nektar_closed_loop_1d,nektar_comparison_output,edv,volume,max,75.976811,ml,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""ventricle_volume_ml""]",0.8580000000000008,End-diastolic volume proxy from maximum ventricular volume over the cycle.
nektar_closed_loop_1d.esv.min,nektar_closed_loop_1d,nektar_comparison_output,esv,volume,min,37.976571,ml,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""ventricle_volume_ml""]",0.8580000000000008,End-systolic volume proxy from minimum ventricular volume over the cycle.
nektar_closed_loop_1d.stroke_volume.edv_minus_esv,nektar_closed_loop_1d,nektar_comparison_output,stroke_volume,volume,edv_minus_esv,38.00024,ml,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""ventricle_volume_ml""]",0.8580000000000008,Stroke volume derived from EDV minus ESV.
nektar_closed_loop_1d.cardiac_output.from_stroke_volume,nektar_closed_loop_1d,nektar_comparison_output,cardiac_output,flow,from_stroke_volume,2.6573594405594383,L/min,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""ventricle_volume_ml"", ""time_s""]",0.8580000000000008,Cardiac output derived from stroke volume and cycle length.
nektar_closed_loop_1d.ascending_aorta_pressure.mean,nektar_closed_loop_1d,nektar_comparison_output,ascending_aorta_pressure,pressure,mean,50.66208569549903,mmHg,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""ascending_aorta_pressure_mmHg""]",0.8580000000000008,Cycle mean pressure.
nektar_closed_loop_1d.ascending_aorta_flow.beat_integral,nektar_closed_loop_1d,nektar_comparison_output,ascending_aorta_flow,flow,beat_integral,35.717627198440006,ml/beat,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""ascending_aorta_flow_ml_s"", ""time_s""]",0.8580000000000008,Periodic trapezoid integral over one beat.
nektar_closed_loop_1d.aortic_arch_pressure.mean,nektar_closed_loop_1d,nektar_comparison_output,aortic_arch_pressure,pressure,mean,50.32511564537365,mmHg,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""aortic_arch_pressure_mmHg""]",0.8580000000000008,Cycle mean pressure.
nektar_closed_loop_1d.descending_aorta_pressure.mean,nektar_closed_loop_1d,nektar_comparison_output,descending_aorta_pressure,pressure,mean,50.058321650348944,mmHg,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""descending_aorta_pressure_mmHg""]",0.8580000000000008,Cycle mean pressure.
nektar_closed_loop_1d.descending_aorta_flow.beat_integral,nektar_closed_loop_1d,nektar_comparison_output,descending_aorta_flow,flow,beat_integral,15.240914427999996,ml/beat,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""descending_aorta_flow_ml_s"", ""time_s""]",0.8580000000000008,Periodic trapezoid integral over one beat.
nektar_closed_loop_1d.ivc_pressure.mean,nektar_closed_loop_1d,nektar_comparison_output,ivc_pressure,pressure,mean,8.729534147444594,mmHg,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""ivc_pressure_mmHg""]",0.8580000000000008,Cycle mean pressure.
