time_s,upper_body_arterial_pressure_mmHg,upper_body_venous_pressure_mmHg,lower_body_arterial_pressure_mmHg,lower_body_venous_pressure_mmHg
0.304,3.878738,0.67621,4.887711,2.120052
0.305,3.89885,0.680825,4.916318,2.142459
0.306,3.918815,0.685422,4.944734,2.164849
0.307,3.938632,0.690003,4.972954,2.18722
0.308,3.958304,0.694565,5.000977,2.209572
0.309,3.97783,0.699111,5.028799,2.231905
0.31,3.997213,0.70364,5.05642,2.254217
0.311,4.016453,0.708153,5.083837,2.276509
0.312,4.03555,0.71265,5.111049,2.298778
0.313,4.054507,0.717132,5.138056,2.321025
0.314,4.073324,0.7216,5.164858,2.343247
0.315,4.092002,0.726053,5.191455,2.365445
0.316,4.110541,0.730493,5.217848,2.387615
0.317,4.128942,0.73492,5.244038,2.409756
0.318,4.147204,0.739333,5.270027,2.431867
0.319,4.165328,0.743734,5.295816,2.453945
0.32,4.183313,0.748122,5.321409,2.475989
0.321,4.201158,0.752498,5.346806,2.497996
0.322,4.218862,0.75686,5.37201,2.519964
0.323,4.236424,0.761209,5.397024,2.541892
0.324,4.253843,0.765545,5.421848,2.563777
0.325,4.271117,0.769868,5.446485,2.585618
0.326,4.288245,0.774176,5.470936,2.607413
0.327,4.305225,0.778471,5.495202,2.629162
0.328,4.322055,0.782752,5.519284,2.650862
0.329,4.338734,0.787019,5.543181,2.672514
0.33,4.35526,0.791272,5.566894,2.694116
0.331,4.371632,0.795511,5.590422,2.715668
0.332,4.387849,0.799736,5.613762,2.73717
0.333,4.40391,0.803948,5.636914,2.75862
0.334,4.419815,0.808146,5.659875,2.780019
0.335,4.435564,0.812332,5.682643,2.801365
0.336,4.451157,0.816505,5.705215,2.822659
0.337,4.466594,0.820666,5.727588,2.843898
0.338,4.481876,0.824814,5.74976,2.865084
0.339,4.497005,0.828951,5.771727,2.886213
0.34,4.511981,0.833076,5.793486,2.907285
0.341,4.526807,0.83719,5.815036,2.928298
0.342,4.541484,0.841293,5.836374,2.949251
0.343,4.556014,0.845385,5.857498,2.970143
0.344,4.570398,0.849465,5.878407,2.990971
0.345,4.58464,0.853535,5.8991,3.011734
0.346,4.598739,0.857593,5.919577,3.03243
0.347,4.612698,0.86164,5.939838,3.053057
0.348,4.626517,0.865675,5.959884,3.073615
0.349,4.640198,0.869699,5.979717,3.094102
0.35,4.653739,0.873712,5.999338,3.114517
0.351,4.667142,0.877713,6.01875,3.134859
0.352,4.680404,0.881701,6.037956,3.155126
0.353,4.693524,0.885679,6.056958,3.175319
0.354,4.706499,0.889644,6.075761,3.195437
0.355,4.719327,0.893598,6.094367,3.215478
0.356,4.732004,0.89754,6.112779,3.235443
0.357,4.744524,0.901471,6.131001,3.25533
0.358,4.756883,0.90539,6.149033,3.275141
0.359,4.769075,0.909299,6.16688,3.294874
0.36,4.781094,0.913196,6.18454,3.314528
0.361,4.792933,0.917083,6.202015,3.334103
0.362,4.804584,0.92096,6.219305,3.353599
0.363,4.81604,0.924826,6.236406,3.373015
0.364,4.827293,0.928682,6.253318,3.39235
0.365,4.838335,0.932528,6.270035,3.411602
0.366,4.849159,0.936364,6.286553,3.430772
0.367,4.859757,0.940189,6.302865,3.449857
0.368,4.870121,0.944005,6.318965,3.468858
0.369,4.880244,0.947811,6.334843,3.487771
0.37,4.890119,0.951606,6.350492,3.506597
0.371,4.89974,0.955391,6.3659,3.525335
0.372,4.9091,0.959166,6.381057,3.543981
0.373,4.918195,0.962931,6.395953,3.562536
0.374,4.927019,0.966685,6.410574,3.580999
0.375,4.935568,0.970428,6.42491,3.599366
0.376,4.943839,0.974162,6.438949,3.617639
0.377,4.951828,0.977884,6.452678,3.635814
0.378,4.959534,0.981597,6.466088,3.653891
0.379,4.966952,0.985299,6.479166,3.671868
0.38,4.974083,0.988991,6.491903,3.689743
0.381,4.980924,0.992672,6.50429,3.707515
0.382,4.987475,0.996344,6.516317,3.725183
0.383,4.993735,1.000006,6.527977,3.742743
0.384,4.999703,1.003658,6.539264,3.760196
0.385,5.005378,1.0073,6.550171,3.777537
0.386,5.01076,1.010933,6.560695,3.794766
0.387,5.015848,1.014556,6.570831,3.81188
0.388,5.020641,1.018169,6.580576,3.828876
0.389,5.025137,1.021774,6.58993,3.845754
0.39,5.029336,1.025369,6.59889,3.86251
0.391,5.033235,1.028955,6.607457,3.879142
0.392,5.036832,1.032531,6.61563,3.895649
0.393,5.040125,1.036098,6.623411,3.912027
0.394,5.043112,1.039656,6.6308,3.928275
0.395,5.045789,1.043205,6.637797,3.944391
0.396,5.048153,1.046744,6.644405,3.960373
0.397,5.050202,1.050273,6.650622,3.976218
0.398,5.051933,1.053793,6.65645,3.991926
0.399,5.053342,1.057303,6.661889,4.007494
0.4,5.054427,1.060804,6.666937,4.022921
0.401,5.055186,1.064296,6.671593,4.038204
0.402,5.055617,1.067778,6.675855,4.053343
0.403,5.055718,1.071251,6.67972,4.068336
0.404,5.055491,1.074714,6.683185,4.083181
0.405,5.054935,1.078169,6.686245,4.097876
0.406,5.054053,1.081614,6.688895,4.112421
0.407,5.052846,1.08505,6.691131,4.126812
0.408,5.051321,1.088478,6.692946,4.141048
0.409,5.049481,1.091896,6.694335,4.155128
0.41,5.047335,1.095306,6.695292,4.169048
0.411,5.044891,1.098707,6.695811,4.182809
0.412,5.04216,1.102099,6.695887,4.196406
0.413,5.039152,1.105482,6.695516,4.209839
0.414,5.035882,1.108857,6.694693,4.223105
0.415,5.032365,1.112224,6.693416,4.236201
0.416,5.028618,1.115581,6.691684,4.249127
0.417,5.024657,1.118931,6.689497,4.261879
0.418,5.020503,1.122271,6.686856,4.274455
0.419,5.016176,1.125603,6.683766,4.286855
0.42,5.011697,1.128926,6.680232,4.299075
0.421,5.007089,1.132241,6.676263,4.311115
0.422,5.002375,1.135547,6.671868,4.322972
0.423,4.997579,1.138845,6.667061,4.334644
0.424,4.992725,1.142134,6.661856,4.346132
0.425,4.987836,1.145415,6.656272,4.357433
0.426,4.982937,1.148687,6.650327,4.368547
0.427,4.978052,1.151951,6.644046,4.379473
0.428,4.973202,1.155206,6.637451,4.390211
0.429,4.968411,1.158453,6.63057,4.40076
0.43,4.963699,1.161692,6.623432,4.411119
0.431,4.959087,1.164923,6.616065,4.42129
0.432,4.954592,1.168146,6.608504,4.431273
0.433,4.950233,1.171361,6.600779,4.441069
0.434,4.946024,1.174568,6.592925,4.450678
0.435,4.94198,1.177768,6.584975,4.460101
0.436,4.938112,1.180959,6.576965,4.469341
0.437,4.934431,1.184143,6.568927,4.4784
0.438,4.930945,1.187319,6.560895,4.487278
0.439,4.92766,1.190487,6.552901,4.495979
0.44,4.924582,1.193648,6.544976,4.504506
0.441,4.921713,1.196801,6.537149,4.51286
0.442,4.919055,1.199947,6.529446,4.521046
0.443,4.916608,1.203084,6.521892,4.529067
0.444,4.914372,1.206215,6.514508,4.536926
0.445,4.912342,1.209337,6.507315,4.544626
0.446,4.910517,1.212452,6.500328,4.552173
0.447,4.90889,1.21556,6.49356,4.559569
0.448,4.907457,1.21866,6.487023,4.566818
0.449,4.906212,1.221753,6.480723,4.573925
0.45,4.905148,1.224838,6.474667,4.580893
0.451,4.904257,1.227916,6.468855,4.587727
0.452,4.903533,1.230987,6.46329,4.594431
0.453,4.902967,1.234051,6.457967,4.601008
0.454,4.902552,1.237107,6.452885,4.607462
0.455,4.902281,1.240157,6.448037,4.613798
0.456,4.902145,1.243199,6.443417,4.620017
0.457,4.902137,1.246234,6.439018,4.626125
0.458,4.90225,1.249263,6.434833,4.632124
0.459,4.902476,1.252284,6.430851,4.638018
0.46,4.902808,1.255299,6.427066,4.643809
0.461,4.903239,1.258306,6.423468,4.649501
0.462,4.903764,1.261307,6.420049,4.655097
0.463,4.904375,1.264301,6.416803,4.660598
0.464,4.905066,1.267289,6.41372,4.666009
0.465,4.905833,1.270269,6.410796,4.671331
0.466,4.906669,1.273243,6.408024,4.676567
0.467,4.907569,1.27621,6.405398,4.681719
0.468,4.908527,1.27917,6.402916,4.68679
0.469,4.90954,1.282123,6.400571,4.691782
0.47,4.910601,1.28507,6.398362,4.696697
0.471,4.911706,1.28801,6.396285,4.701538
0.472,4.912851,1.290943,6.394339,4.706306
0.473,4.914032,1.29387,6.392519,4.711004
0.474,4.915243,1.29679,6.390826,4.715634
0.475,4.916481,1.299704,6.389256,4.720198
0.476,4.917742,1.302611,6.387808,4.724698
0.477,4.919021,1.305512,6.386478,4.729135
0.478,4.920316,1.308406,6.385264,4.733512
0.479,4.921621,1.311294,6.384164,4.73783
0.48,4.922935,1.314176,6.383173,4.742091
0.481,4.924253,1.317051,6.382287,4.746297
0.482,4.925573,1.319919,6.381502,4.750449
0.483,4.926891,1.322782,6.380813,4.754549
0.484,4.928205,1.325638,6.380214,4.758598
0.485,4.929511,1.328488,6.379699,4.762598
0.486,4.930808,1.331332,6.379262,4.766551
0.487,4.932094,1.33417,6.378897,4.770456
0.488,4.933366,1.337001,6.378596,4.774316
