time_s,ascending_aorta_pressure_mmHg,ascending_aorta_flow_ml_s,aortic_arch_pressure_mmHg,descending_aorta_pressure_mmHg,descending_aorta_flow_ml_s,ivc_pressure_mmHg,ivc_flow_ml_s,svc_pressure_mmHg,svc_flow_ml_s,rpa_pressure_mmHg,rpa_flow_ml_s,lpa_pressure_mmHg,lpa_flow_ml_s,ventricle_volume_ml,mitral_valve_flow_ml_s,pulmonary_inflow_qin5_ml_s,ventricle_pressure_mmHg,atrium_pressure_mmHg,atrium_volume_ml
0.7250000000000001,43.02940073501837,-0.0020307000000000003,43.029325733143324,43.04455111377784,-6.25501,9.184279606990174,17.5171,8.641791044776118,20.3087,8.72121803045076,22.8701,8.483612090302255,15.179,69.661235,45.195065,38.049057,3.845452,4.788804,17.895141
0.726,43.021150528763215,-0.00203081,43.02107552688817,43.036375909397734,-6.25152,9.168604215105377,17.5162,8.644116102902572,19.9075,8.727068176704416,22.9313,8.462986574664365,15.1126,69.7067,45.729345,38.043926,3.848407,4.784137,17.887724
0.7270000000000001,43.012975324383106,-0.00203092,43.01290032250806,43.02812570314257,-6.24803,9.151428785719643,17.5164,8.646666166654164,19.4711,8.734868371709291,23.004900000000003,8.442286057151428,15.047300000000002,69.752698,46.261425,38.052226,3.851396,4.779248,17.879776
0.728,43.00472511812794,-0.00203103,43.004650116252904,43.01995049876247,-6.24455,9.133278331958298,17.5176,8.649441236030901,18.9976,8.7443186079652,23.0893,8.421660541513535,14.983900000000002,69.799226,46.790958,38.073192,3.85442,4.774148,17.871311
0.7290000000000001,42.996549913747835,-0.0020311400000000003,42.996474911872795,43.01177529438236,-6.241070000000001,9.114677866946673,17.519800000000004,8.652366309157728,18.4871,8.7550438760969,23.1825,8.401635040876021,14.9235,69.846283,47.317607,38.105977,3.857478,4.768847,17.862345
0.73,42.988299707492686,-0.00203125,42.98822470561763,43.0035250881272,-6.2376000000000005,9.096077401935048,17.5234,8.655591389784744,17.9419,8.766669166729166,23.281900000000004,8.382359558988973,14.867600000000001,69.893865,47.841044,38.149534,3.860571,4.763357,17.852893
0.7310000000000001,42.98012450311257,-0.0020313700000000002,42.980049501237524,42.99534988374709,-6.23413,9.078076951923798,17.5286,8.658891472286806,17.3658,8.778669466736668,23.384800000000002,8.364434110852772,14.8177,69.941969,48.360947,38.202531,3.863697,4.757686,17.842967
0.732,42.971874296857415,-0.00203148,42.971799294982375,42.98717467936698,-6.23067,9.060901522538062,17.5356,8.66241656041401,16.764599999999998,8.790594764869121,23.4879,8.348233705842645,14.7754,69.990591,48.877,38.263288,3.866857,4.751843,17.83258
0.7330000000000001,42.96369909247731,-0.0020315900000000002,42.96362409060226,42.97899947498687,-6.22721,9.045001125028126,17.544600000000003,8.666091652291307,16.1456,8.801845046126152,23.588,8.33398334958374,14.7417,70.039726,49.388897,38.329751,3.870051,4.745834,17.821743
0.734,42.9555238880972,-0.00203171,42.95544888622215,42.97082427060676,-6.22376,9.03045076126903,17.555300000000003,8.66984174604365,15.5166,8.811820295507388,23.681900000000002,8.321908047701191,14.717600000000001,70.089372,49.896334,38.399504,3.873277,4.739667,17.810465
