time_s,ascending_aorta_pressure_mmHg,ascending_aorta_flow_ml_s,aortic_arch_pressure_mmHg,descending_aorta_pressure_mmHg,descending_aorta_flow_ml_s,ivc_pressure_mmHg,ivc_flow_ml_s,svc_pressure_mmHg,svc_flow_ml_s,rpa_pressure_mmHg,rpa_flow_ml_s,lpa_pressure_mmHg,lpa_flow_ml_s
0.3369999999999999,61.355358883972094,85.97250000000001,61.29033225830646,62.72099302482562,55.889900000000004,8.90849771244281,18.165200000000002,8.805520138003448,23.2578,8.756243906097652,26.0216,8.114827870696766,15.744300000000003
0.3380000000000001,61.22140553513837,85.1727,61.158403960098994,62.59911497787444,55.3768,8.90849771244281,18.175,8.805670141753543,23.2472,8.756318907972698,26.0219,8.114827870696766,15.744500000000002
0.3389999999999999,61.08790219755494,84.3747,61.027600690017245,62.475211880296996,54.857,8.908572714317858,18.1847,8.80574514362859,23.236700000000003,8.756318907972698,26.0222,8.114902872571815,15.7447
0.3400000000000001,60.954473861846544,83.5742,60.89799744993624,62.349583739593484,54.3312,8.908572714317858,18.194300000000002,8.805895147378683,23.226100000000002,8.756393909847745,26.0225,8.114977874446861,15.7449
0.3409999999999999,60.82044551113777,82.7663,60.7694442361059,62.22230555763894,53.7999,8.908647716192904,18.2039,8.806045151128776,23.215500000000002,8.756468911722791,26.022800000000004,8.114977874446861,15.7451
0.3420000000000001,60.68536713417835,81.9457,60.641716042901066,62.09367734193355,53.2644,8.908647716192904,18.213500000000003,8.806120153003823,23.205,8.756468911722791,26.023100000000003,8.115052876321908,15.7452
0.3429999999999999,60.54856371409284,81.10690000000001,60.51451286282156,61.96399909997749,52.725500000000004,8.908647716192904,18.223000000000003,8.806270156753918,23.1945,8.75654391359784,26.0234,8.115052876321908,15.7454
0.3440000000000001,60.40943523588089,80.2442,60.387534688367204,61.83349583739593,52.18470000000001,8.908722718067951,18.232499999999998,8.806420160504013,23.184,8.756618915472886,26.0237,8.115127878196954,15.745600000000001
0.345,60.267231680792015,79.352,60.26040651016275,61.70269256731417,51.6433,8.908722718067951,18.242,8.806570164254106,23.173600000000004,8.756618915472886,26.0239,8.115202880072001,15.745800000000001
0.3460000000000001,60.12142803570089,78.4248,60.13260331508287,61.571814295357385,51.102500000000006,8.908722718067951,18.2514,8.806645166129153,23.1632,8.756693917347933,26.0242,8.115202880072001,15.746000000000002
