model,component,node,total_C_m3_per_Pa,total_C_ml_per_mmHg,mean_pressure_mmHg,estimated_stored_volume_ml,category
quasi_0d_1d,quasi_rpa_c_03,rpa,6.343341201121679e-11,0.008457089148792602,7.72209359445776,0.0653064339436496,quasi_chain
quasi_0d_1d,quasi_lpa_c_01,quasi_lpa_p_01,9.20271250530703e-11,0.012269269080832023,8.105975491085596,0.09945439446275868,quasi_chain
quasi_0d_1d,quasi_lpa_c_02,quasi_lpa_p_02,5.3706681813306006e-11,0.007160298990390928,7.942195521124592,0.05686849457139577,quasi_chain
quasi_0d_1d,quasi_lpa_c_03,quasi_lpa_p_03,2.791633146943343e-11,0.0037218698546831364,7.8010942604565985,0.029034657561535046,quasi_chain
quasi_0d_1d,quasi_lpa_c_04,lpa,3.711229948289385e-11,0.0049478975715199335,7.72186936005947,0.038207018654232434,quasi_chain
quasi_0d_1d,active_atrium_min_elastance_equivalent,atrial,6.000510043353685e-08,8.000018722923818,4.711054302261928,37.688522622806225,active_atrium
full_0d,__category_total__,,6.000510043353685e-08,8.000018722923818,,40.894451271341836,active_atrium
full_0d,__category_total__,,1.0805918078036632e-08,1.4406699816863981,,42.57211841229159,other
full_0d,__category_total__,,1.8001530130061052e-08,2.400005616877145,,109.70786345667649,retained_aortic_endpoint
full_0d,__category_total__,,3.9873389238085233e-07,53.16012441382876,,474.92313044693793,retained_fontan_endpoint
full_0d,__category_total__,,1.9001615137286667e-07,25.333392622592083,,534.1245631727829,systemic_bed
quasi_0d_1d,__category_total__,,6.000510043353685e-08,8.000018722923818,,37.688522622806225,active_atrium
quasi_0d_1d,__category_total__,,6.005510043353684e-09,0.8006684838524927,,37.29501763175095,other
quasi_0d_1d,__category_total__,,5.25291650824456e-09,0.7003309737387788,,9.60708698874036,quasi_chain
quasi_0d_1d,__category_total__,,1.8001530130061052e-08,2.400005616877145,,112.58579930441965,retained_aortic_endpoint
quasi_0d_1d,__category_total__,,3.9873389238085233e-07,53.16012441382876,,470.8307931175038,retained_fontan_endpoint
quasi_0d_1d,__category_total__,,1.9001615137286667e-07,25.333392622592083,,544.885909850193,systemic_bed
