phase,target_time_s,target_ascending_aorta_pressure_mmHg,target_aortic_arch_pressure_mmHg,target_descending_aorta_pressure_mmHg,target_ascending_aorta_flow_ml_s,target_descending_aorta_flow_ml_s,model_ascending_aorta_pressure_mmHg,model_aortic_arch_pressure_mmHg,model_descending_aorta_pressure_mmHg,model_ascending_aorta_flow_ml_s,model_dao_chain_outlet_flow_ml_s,model_lower_ra4_flow_ml_s
0.2937062937062934,0.252,69.91374784369609,68.98732468311707,69.02580064501612,145.48,86.8599,50.31324976225207,49.367379335613414,44.97505369756064,146.15499999980574,130.44475335919526,20.989742017867243
0.29487179487179477,0.2530000000000001,69.82232055801394,68.90729768244205,68.96324908122703,144.803,86.52310000000001,50.25498793692001,49.37392944563802,45.06597815544027,145.479999999805,131.12696151409372,21.239210193615225
0.2960372960372958,0.254,69.73014325358133,68.82644566114152,68.89979749493736,144.12400000000002,86.1833,50.193481600681594,49.380640686466926,45.15725502345844,144.8029999998044,131.79459563119192,21.489443247706
0.2972027972027971,0.2550000000000001,69.6372909322733,68.74484362109052,68.8353708842721,143.44299999999998,85.84060000000001,50.12886923098867,49.387468798796114,45.24887161624674,144.12399999980366,132.44769631159033,21.740405657453408
0.2983682983682981,0.256,69.5436885922148,68.66249156228905,68.77004425110627,142.76,85.4949,50.061299237517744,49.39435301708473,45.34081528959049,143.44299999980433,133.0862513298874,21.99206204302478
0.2995337995337994,0.2570000000000001,69.44933623340583,68.57946448661217,68.70381759543989,142.07600000000002,85.1465,49.99094253920755,49.40119609833019,45.433073398709965,142.7599999998025,133.71020081478687,22.244377052396874
0.30069930069930045,0.258,69.35445886147154,68.4956873921848,68.63676591914798,141.389,84.79540000000001,49.917997644325325,49.40787519299141,45.525633264462044,142.07599999980053,134.31945097338607,22.49731526822439
0.30186480186480175,0.2590000000000001,69.25883147078677,68.41123528088202,68.56888922223055,140.701,84.44160000000001,49.842684299613666,49.41427341013475,45.618482152113295,141.38899999979992,134.9138905356843,22.750841149414967
0.30303030303030276,0.26,69.16260406510163,68.32618315457886,68.50011250281257,140.011,84.0853,49.76521905515376,49.420303403145546,45.711607262346185,140.7009999998006,135.4934037404813,23.004919006449473
0.30419580419580405,0.2610000000000001,69.06585164629115,68.24038100952524,68.4305857646441,139.31900000000002,83.7265,49.68578660530384,49.42590369940083,45.80499572984856,140.01099999979985,136.05787561377952,23.259512997611875
0.3053613053613051,0.262,68.96842421060525,68.15405385134628,68.36023400585013,138.627,83.3653,49.604543016894134,49.43101479422797,45.89863462273709,139.3189999997995,136.60718870007756,23.51458712751912
0.3065268065268064,0.2630000000000001,68.87047176179404,68.0670516762919,68.2891322283057,137.93200000000002,83.0018,49.5216501900737,49.435558711044536,45.992510936865315,138.62699999979986,137.14121396987474,23.77010523156163
0.30769230769230743,0.264,68.7719942998575,67.97952448811219,68.2172804320108,137.237,82.63600000000001,49.43732230073208,49.43943853197585,46.08661158229057,137.9319999997983,137.65980094417358,24.026030938757163
